Date,At&t,Xom,BA,Wmt,Wix
5/25/2017,38.23,81.75,187.070007,78.309998,76.099998
5/26/2017,38.119999,81.550003,186.589996,78.129997,77.25
5/30/2017,38.549999,81.099998,186.880005,78.150002,74.75
5/31/2017,38.529999,80.5,187.630005,78.599998,73.699997
6/1/2017,38.869999,80.699997,187.320007,79.809998,73.75
6/2/2017,38.869999,79.5,190.229996,79.620003,76.650002
6/5/2017,38.810001,80.120003,188.949997,80.260002,75.550003
6/6/2017,38.73,81.209999,186.75,78.93,77.75
6/7/2017,38.759998,80.910004,188.100006,79.150002,79.449997
6/8/2017,38.5,80.620003,189.929993,78.93,78.849998
6/9/2017,38.790001,82.129997,190.029999,79.419998,73.75
6/12/2017,39.07,82.93,190,79.239998,70.550003
6/13/2017,38.68,82.959999,191.089996,79.519997,73.150002
6/14/2017,38.720001,82.07,192.380005,79.900002,70.5
6/15/2017,38.84,82.260002,195.449997,78.910004,68.900002
6/16/2017,38.959999,83.489998,196.440002,75.239998,69.25
6/19/2017,38.91,82.760002,199.080002,75.5,71.849998
6/20/2017,38.66,82.309998,198.330002,75.540001,70.75
6/21/2017,38.150002,81.440002,199.169998,76.239998,72.300003
6/22/2017,38.099998,81.080002,199.440002,75.519997,72.800003
6/23/2017,37.950001,81.610001,202.229996,74.839996,76.949997
6/26/2017,38.150002,81.239998,199.979996,75.5,72.550003
6/27/2017,37.700001,81.110001,198.889999,76.010002,71.150002
6/28/2017,37.939999,81.529999,199.619995,76.510002,73.349998
6/29/2017,37.619999,80.699997,197.460007,75.93,69.5
6/30/2017,37.73,80.730003,197.75,75.68,69.599998
7/3/2017,38.110001,82.099998,198.589996,75.360001,69.199997
7/5/2017,38.119999,80.849998,201.809998,75.32,70.25
7/6/2017,37.18,80.120003,201.479996,75.470001,69.300003
7/7/2017,36.98,80.220001,202.369995,75.330002,70.300003
7/10/2017,36.830002,80.160004,203.960007,73.230003,69.400002
7/11/2017,36.599998,80.599998,206.270004,73.470001,71.400002
7/12/2017,36.830002,80.959999,206.440002,73.940002,74.150002
7/13/2017,36.209999,80.970001,206.229996,75.050003,73.849998
7/14/2017,36.299999,81.279999,208.509995,76.339996,73.849998
7/17/2017,36.389999,80.860001,209,76.370003,73.900002
7/18/2017,35.990002,80.599998,208.240005,76.199997,73.099998
7/19/2017,36.130001,80.849998,210.880005,75.870003,76.150002
7/20/2017,36.52,80.860001,210.279999,76.019997,73.199997
7/21/2017,36.509998,80.120003,212.139999,76.150002,73.099998
7/24/2017,36.23,79.870003,212.179993,76.889999,75.650002
7/25/2017,36.220001,80.269997,212.460007,78.519997,75.949997
7/26/2017,38.029999,80.370003,233.449997,78.900002,76.849998
7/27/2017,39.41,80.830002,241,79.779999,73.599998
7/28/2017,39,79.599998,241.270004,79.809998,63.900002
7/31/2017,39,80.040001,242.460007,79.989998,61.700001
8/1/2017,38.880001,80.169998,239.440002,80.5,62.349998
8/2/2017,38.27,80.599998,237.949997,80.529999,61.650002
8/3/2017,38.279999,80.489998,238.25,80.870003,62.75
8/4/2017,38.43,80.209999,237.710007,80.480003,60.25
8/7/2017,38.52,80.160004,240.229996,81.279999,58.599998
8/8/2017,38.360001,79.959999,239.5,81.589996,58.650002
8/9/2017,38.360001,80.209999,234.309998,81.610001,58.599998
8/10/2017,38.189999,78.970001,232.880005,80.660004,56.900002
8/11/2017,38.099998,78.209999,234.880005,80.400002,57.700001
8/14/2017,38.5,78.230003,237.149994,80.699997,60.5
8/15/2017,38.16,78.040001,239.169998,80.769997,58.150002
8/16/2017,38.23,77.470001,237.589996,80.980003,60
8/17/2017,37.599998,76.260002,235.589996,79.699997,59.799999
8/18/2017,37.369999,76.639999,235.770004,79.309998,60.150002
8/21/2017,37.580002,76.379997,235.679993,79.709999,59.049999
8/22/2017,37.98,76.739998,239.75,80.019997,60.650002
8/23/2017,37.919998,76.610001,238.089996,79.959999,60.650002
8/24/2017,37.68,76.330002,238.740005,78.339996,60.950001
8/25/2017,37.990002,76.720001,235.889999,78.629997,60.200001
8/28/2017,37.939999,76.470001,237.179993,78.029999,60.549999
8/29/2017,37.849998,76.449997,240.490005,78.769997,61
8/30/2017,37.669998,76.099998,240.460007,78.540001,64.050003
8/31/2017,37.459999,76.330002,239.660004,78.07,65.099998
9/1/2017,37.48,76.57,240.330002,78.370003,64.449997
9/5/2017,37.09,77.18,237,79.800003,65.800003
9/6/2017,36.57,78.779999,234.619995,80.080002,65.150002
9/7/2017,35.599998,79.029999,236.309998,80.120003,66.150002
9/8/2017,35.59,78.82,238.779999,78.879997,65.300003
9/11/2017,35.740002,79.25,240.589996,79.080002,67.199997
9/12/2017,36.259998,79.5,240.580002,79.610001,68.349998
9/13/2017,36.549999,79.769997,241.929993,79.860001,68.150002
9/14/2017,36.32,80.089996,245.229996,79.68,69.050003
9/15/2017,37.099998,80.07,249,80.379997,69.550003
9/18/2017,37.419998,80.089996,253.080002,80,69.800003
9/19/2017,38.209999,80.220001,252.460007,80.050003,70.150002
9/20/2017,38.43,80.550003,255.460007,80.5,69.199997
9/21/2017,38.220001,79.889999,256.040009,80.010002,68.650002
9/22/2017,38.59,79.919998,256.450012,79.529999,68.400002
9/25/2017,39.119999,80.980003,254.320007,79.150002,67.050003
9/26/2017,38.720001,80.889999,253.699997,79.389999,67.349998
9/27/2017,38.77,81.43,255.279999,79.290001,70.099998
9/28/2017,39.040001,82.190002,254.270004,78.949997,70.599998
9/29/2017,39.169998,81.980003,254.210007,78.139999,71.849998
10/2/2017,39.110001,81.629997,255.990005,78.449997,71.400002
10/3/2017,39.48,81.760002,255.460007,79.220001,70.800003
10/4/2017,39.5,81.790001,255.759995,79.089996,69.150002
10/5/2017,39.509998,82.019997,258.890015,79.410004,70.300003
10/6/2017,38.59,81.709999,258.579987,79,68.900002
10/9/2017,38.299999,82.029999,258.390015,80.529999,67.900002
